


From                   To                     Miles
Hardin                 Miles City                  120
Hardin                 Red Lodge                   106
Hardin                 Roundup                      93
Hardin                 Ryegate                     109
Hardin                 Terry                       158
Hardin                 Winnett                     138
-----------------------
Harlowton              Harlowton                     0
Harlowton              Helena                      131
Harlowton              Hysham                      170
Harlowton              Laurel                      109
Harlowton              Lewistown                    57
Harlowton              Livingston                   79
Harlowton              Red Lodge                   132
Harlowton              Roundup                      69
Harlowton              Ryegate                      30
Harlowton              Stanford                     68
Harlowton              Three Forks                 133
Harlowton              Townsend                     99
Harlowton              White Sulphur Springs        57
Harlowton              Winnett                     111
-----------------------
Havre                  Malta                        88
Havre                  Shelby                      102
Havre                  Stanford                    140
Havre                  Sweetgrass                  138
-----------------------
Helena                 Helena                        0
Helena                 Livingston                  121
Helena                 Missoula                    115
Helena                 Philipsburg                  93
Helena                 Ryegate                     161
Helena                 Stanford                    149
Helena                 Superior                    172
Helena                 Three Forks                  66
Helena                 Townsend                     32
Helena                 Virginia City               120
Helena                 White Sulphur Springs        74
-----------------------
Hysham                 Hysham                        0
Hysham                 Jordan                      158
Hysham                 Laurel                       93
Hysham                 Miles City                   74
Hysham                 Red Lodge                   137
Hysham                 Roundup                     124
Hysham                 Ryegate                     140
Hysham                 Terry                       112
-----------------------
Jordan                 Jordan                        0
Jordan                 Lewistown                   130
Jordan                 Miles City                   84
Jordan                 Poplar                      132
Jordan                 Roundup                     121
Jordan                 Ryegate                     160
Jordan                 Sidney                      142
Jordan                 Terry                       123
Jordan                 Winnett                      76
Jordan                 Wolf Point                  120
-----------------------
Kalispell              Kalispell                     0
Kalispell              Libby                        89
Kalispell              Missoula                    115
Kalispell              Polson                       49
Kalispell              Superior                    125
Kalispell              Thompson Falls              108
Kalispell              West Glacier                 31
Kalispell              Whitefish                    14
-----------------------
Laurel                 Laurel                        0
Laurel                 Lewistown                   144
Laurel                 Livingston                  100
Laurel                 Miles City                  161
Laurel                 Red Lodge                    44
Laurel                 Roundup                      69
Laurel                 Ryegate                      79
Laurel                 Three Forks                 156
Laurel                 White Sulphur Springs       159
Laurel                 Winnett                     114
-----------------------
Lewistown              Lewistown                     0
Lewistown              Livingston                  136
Lewistown              Malta                       133
Lewistown              Roundup                      75
Lewistown              Ryegate                      85
Lewistown              Stanford                     45
Lewistown              Townsend                    156
Lewistown              White Sulphur Springs       114
Lewistown              Winnett                      54
-----------------------
Libby                  Libby                         0
Libby                  Polson                      138
Libby                  Superior                    159
Libby                  Thompson Falls               90
Libby                  West Glacier                120
Libby                  Whitefish                   103
-----------------------
Livingston             Livingston                    0
Livingston             Philipsburg                 166
Livingston             Red Lodge                   123
Livingston             Roundup                     148
Livingston             Ryegate                     109
Livingston             Stanford                    147
Livingston             Three Forks                  56
Livingston             Townsend                     89
Livingston             Virginia City                93
Livingston             White Sulphur Springs        73
-----------------------
Malta                  Malta                         0
Malta                  Poplar                      140
Malta                  Roundup                     156
Malta                  Wolf Point                  119
-----------------------
Miles City             Miles City                    0
Miles City             Roundup                     146
Miles City             Sidney                      128
Miles City             Terry                        39
Miles City             Wibaux                      104
Miles City             Winnett                     158
-----------------------
Missoula               Missoula                      0
Missoula               Philipsburg                  74
Missoula               Polson                       66
Missoula               Roundup                     315
Missoula               Superior                     57
Missoula               Thompson Falls              100
Missoula               Three Forks                 173
Missoula               Townsend                    147
Missoula               West Glacier                136
Missoula               Whitefish                   129
-----------------------
Philipsburg            Philipsburg                   0
Philipsburg            Polson                      140
Philipsburg            Three Forks                 111
Philipsburg            Townsend                    125
Philipsburg            Virginia City               130
Philipsburg            White Sulphur Springs       167
-----------------------
Plentywood             Plentywood                    0
Plentywood             Poplar                       80
Plentywood             Scobey                       41
Plentywood             Sidney                       84
Plentywood             Wibaux                      164
Plentywood             Wolf Point                   96
-----------------------
Polson                 Polson                        0
Polson                 Superior                     97
Polson                 Thompson Falls               91
Polson                 West Glacier                 70
Polson                 Whitefish                    63
-----------------------
Poplar                 Poplar                        0
Poplar                 Scobey                       62
Poplar                 Sidney                       70
Poplar                 Terry                       145
Poplar                 Wibaux                      140
Poplar                 Wolf Point                   21
-----------------------
Red Lodge              Red Lodge                     0
Red Lodge              Roundup                     113
Red Lodge              Ryegate                     123
Red Lodge              Winnett                     158
-----------------------
Roundup                Roundup                       0
Roundup                Stanford                    120
Roundup                Townsend                    168
Roundup                White Sulphur Springs       126
Roundup                Winnett                      45
-----------------------
Ryegate                Ryegate                       0
Ryegate                Stanford                     96
Ryegate                Three Forks                 163
Ryegate                Townsend                    129
Ryegate                White Sulphur Springs        87
Ryegate                Winnett                      84
-----------------------
Scobey                 Scobey                        0
Scobey                 Sidney                      125
Scobey                 Wolf Point                   55
-----------------------
Shelby                 Shelby                        0
Shelby                 Stanford                    148
Shelby                 Sweetgrass                   36
Shelby                 West Glacier                126
Shelby                 Whitefish                   151
-----------------------
Sidney                 Sidney                        0
Sidney                 Terry                        89
Sidney                 Wibaux                       80
Sidney                 Wolf Point                   91
-----------------------
Stanford               Stanford                      0
Stanford               Townsend                    153
Stanford               White Sulphur Springs       111
Stanford               Winnett                      99
-----------------------
Superior               Superior                      0
Superior               Thompson Falls               69
Superior               West Glacier                156
Superior               Whitefish                   139
-----------------------
Sweetgrass             Sweetgrass                    0
Sweetgrass             West Glacier                160
-----------------------
Terry                  Terry                         0
Terry                  Wibaux                       65
-----------------------
Thompson Falls         Thompson Falls                0
Thompson Falls         West Glacier                139
Thompson Falls         Whitefish                   122
-----------------------
Three Forks            Three Forks                   0
Three Forks            Townsend                     34
Three Forks            Virginia City                61
Three Forks            White Sulphur Springs        76
-----------------------
Townsend               Townsend                      0
Townsend               Virginia City                89
Townsend               White Sulphur Springs        42
-----------------------
Virginia City          Virginia City                 0
Virginia City          White Sulphur Springs       131
-----------------------
West Glacier           West Glacier                  0
West Glacier           Whitefish                    25
-----------------------
West Yellowstone       West Yellowstone              0
-----------------------
Whitefish              Whitefish                     0
-----------------------
White Sulphur Springs  White Sulphur Springs         0
White Sulphur Springs  Winnett                     168
-----------------------
Wibaux                 Wibaux                        0
Wibaux                 Wolf Point                  128
-----------------------
Winnett                Winnett                       0
-----------------------
Wolf Point             Wolf Point                    0

